#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
179,Yes,male,29,Jerusalem,high school,Married,"friends/relatives , media",Yes,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,no,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes
180,Yes,male,23,Bethlehem ,university,single,"friends/relatives , media",no,Yes,no,no,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure
181,Yes,female,36,Hebron,high school,Married,"friends/relatives , healthcare",Yes,Yes,Not sure,Not sure,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,no,no,Not sure,Yes,Not sure
182,Yes,female,27,Jerusalem,university,Married,"friends/relatives , study",Yes,Yes,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes
183,Yes,female,22,Hebron,university,single,media,no,Yes,no,Not sure,Not sure,crystal accumulation in the joint,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,no,no,Yes,Not sure,Not sure,Not sure,Not sure,Not sure
184,Yes,male,32,Hebron,university,Married,"friends/relatives , media",Yes,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Yes
185,Yes,female,24,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Yes,no,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,no,Yes,no,Not sure,Yes,Not sure,Yes,Yes,no,no,Yes,Not sure,Yes,Yes,Yes,Yes
186,Yes,female,20,Hebron,university,single,healthcare,no,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
187,Yes,female,20,Hebron,university,single,"friends/relatives , others",Yes,Yes,Yes,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
188,Yes,female,18,Hebron,university,single,friends/relatives ,no,Not sure,no,Yes,no,nerve compression near the joint ,Not sure,Yes,no,Not sure,Yes,no,Not sure,no,Not sure,Not sure,Yes,no,Not sure,Not sure,no,Yes,Not sure,no,Yes,Not sure
189,Yes,male,34,Hebron,Postgraduate studies (Masters/PhD),Divorced,"study, media",no,Yes,no,Yes,no,decreased blood supply to the joint,Yes,no,Yes,Not sure,Not sure,no,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
190,Yes,female,59,Hebron,primary school,Married,Personal history,Yes,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,no,Yes,no,Not sure,Yes,Not sure,no,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Not sure
191,Yes,female,24,Hebron,university,Married,"friends/relatives , study",no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,no,Yes,Not sure,Not sure,Not sure,no,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure
192,Yes,female,48,Hebron,university,Married,friends/relatives ,no,Yes,no,Yes,no,decreased blood supply to the joint,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,no,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure
193,Yes,male,20,Hebron,university,single,media,Yes,Yes,Yes,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes
194,Yes,female,20,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes
195,Yes,female,20,Hebron,university,single,study,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Not sure,Yes,no,Yes,Not sure,Yes,Yes,Yes,no,no,no,Not sure,Yes,Yes,Yes,Yes
196,Yes,female,22,Hebron,university,single,study,no,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,no,no,Yes,no,Not sure,Yes,no,no,no,Yes,no,Yes,Not sure,Yes,Not sure
197,Yes,female,23,Hebron,university,single,study,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
198,Yes,female,24,Hebron,university,single,study,Yes,Yes,no,no,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,no,Not sure,no,Not sure,Yes
199,Yes,female,23,Hebron,university,single,"friends/relatives , study, healthcare",no,Yes,no,no,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Not sure,no,no,no,Yes,no,no,Yes,Yes,Yes,Yes,no,Yes
200,Yes,female,22,Hebron,university,single,study,Yes,Yes,no,Not sure,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes
201,Yes,female,28,Hebron,university,Married,study,no,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes
202,Yes,female,32,Hebron,university,Married,"Personal history, friends/relatives ",Yes,Yes,no,no,Not sure,"infection, cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes
203,Yes,female,20,Hebron,university,single,media,no,Not sure,Not sure,Not sure,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,no,no,Not sure,Not sure,Not sure
204,Yes,female,20,Hebron,university,single,study,no,Not sure,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
205,Yes,female,25,Hebron,university,single,friends/relatives ,Yes,no,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Yes,Yes,no,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes
206,Yes,female,40,Hebron,high school,Married,friends/relatives ,no,Yes,Not sure,Not sure,no,crystal accumulation in the joint,Not sure,Yes,no,no,Yes,Not sure,no,Yes,no,Not sure,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Not sure
207,Yes,female,32,Hebron,university,Married,"study, healthcare",Yes,Yes,no,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,no,no,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
208,Yes,female,27,Hebron,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Not sure,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes
209,Yes,female,26,Hebron,university,Married,Personal history,Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,no,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes
210,Yes,female,41,Hebron,high school,Married,friends/relatives ,Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,no,no,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure
211,Yes,female,34,Hebron,high school,Married,"friends/relatives , media",Yes,no,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
212,Yes,female,39,Hebron,high school,Married,Personal history,Yes,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Not sure,no,Yes,Yes,no,Not sure,Yes,no,Not sure,Yes,Yes,no,Yes,Yes,Not sure,Yes,Not sure,Yes
213,Yes,female,22,Hebron,university,Married,friends/relatives ,no,Yes,no,no,no,"decreased blood supply to the joint, nerve compression near the joint , crystal accumulation in the joint",no,no,Yes,Yes,Yes,Yes,no,Yes,no,no,no,no,Yes,no,Yes,Yes,Yes,Yes,no,no
214,Yes,female,36,Hebron,university,Married,others,no,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Not sure,Yes,Yes,no,no,Yes,Not sure,Not sure,Not sure,Yes,Yes,no,Yes,Yes,Not sure
215,Yes,female,42,Hebron,university,Married,Personal history,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,no,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,no,Yes,Not sure
216,Yes,male,28,Hebron,university,single,others,no,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,Not sure,Not sure,no,no,no,no,Yes,no,Yes,Yes,Yes,Yes,no,Not sure
217,Yes,male,24,Hebron,university,single,"study, media, healthcare",no,Not sure,Not sure,Yes,Not sure,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,Yes,no,Not sure,no,Not sure,Not sure,no,Yes,Not sure,Yes,Not sure,Yes,Yes
218,Yes,male,21,Hebron,university,single,study,no,Yes,no,no,Yes,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,no,Not sure,no,Yes,Yes,no,Not sure,no,Yes,Not sure,Yes,Yes,Yes
219,Yes,male,20,Hebron,university,single,study,no,Yes,no,Yes,Not sure,"infection, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
220,Yes,male,27,Hebron,high school,single,friends/relatives ,Yes,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Not sure,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes
221,Yes,male,21,Hebron,university,single,media,Yes,Yes,Not sure,Not sure,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,no
222,Yes,male,21,Hebron,university,single,"friends/relatives , study, media, healthcare",no,Yes,Not sure,Yes,Not sure,"infection, cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Not sure,no,no,no,Not sure,Yes,Not sure,Not sure,Yes,no,Not sure,Yes,Yes,no,no,Yes,Yes
223,Yes,male,58,Hebron,high school,Married,friends/relatives ,Yes,Not sure,no,no,Not sure,nerve compression near the joint ,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes
224,Yes,female,19,Hebron,university,single,media,no,Yes,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes
225,Yes,female,19,Hebron,university,single,friends/relatives ,Yes,Yes,no,no,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,no,Yes,Not sure,Not sure,Yes,no,Yes,Yes,no,Yes
226,Yes,female,19,Hebron,university,Married,friends/relatives ,no,no,no,Yes,no,decreased blood supply to the joint,no,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,Yes,no,no,Not sure,Not sure,no,no,Yes,Yes,Yes,no
227,Yes,female,18,Hebron,university,single,friends/relatives ,no,Yes,Not sure,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Not sure,Not sure,no,no,Not sure,Not sure
228,Yes,female,19,Hebron,university,single,"media, others",Yes,Yes,no,no,Yes,cartilage at the end of the bones wearing down over time,Yes,Not sure,no,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
229,Yes,female,20,Hebron,university,single,friends/relatives ,Yes,Yes,no,Not sure,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",no,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes,Not sure,Not sure,no,no,Yes,Yes,Yes,Yes
230,Yes,female,19,Hebron,high school,single,"friends/relatives , others",Yes,Yes,Not sure,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Not sure,no,no,Not sure,no,Not sure,no,no,Not sure,Not sure,no,no,Yes,Yes,Yes,Yes
231,Yes,female,18,Hebron,university,single,friends/relatives ,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,no,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure
232,Yes,female,30,Hebron,high school,Married,"friends/relatives , media",no,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,no,Yes,Not sure
233,Yes,female,19,Hebron,university,single,others,Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,no,Yes,no,Yes,Not sure,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure
234,Yes,male,22,Hebron,university,single,study,no,Yes,Not sure,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Yes,Not sure
235,Yes,male,23,Hebron,university,single,friends/relatives ,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,no,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
236,Yes,male,20,Hebron,university,single,others,no,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,no,no,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
237,Yes,female,19,Hebron,university,single,friends/relatives ,no,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,no,Yes,Not sure,no,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure
238,Yes,male,21,Hebron,university,single,friends/relatives ,Yes,Yes,Not sure,Not sure,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,no,Not sure,Yes,Not sure,Yes,Not sure
239,Yes,female,19,Hebron,university,single,others,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no
240,Yes,male,21,Hebron,university,single,others,no,Yes,Not sure,no,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Not sure,no,Not sure,no,no,Yes,Yes,no,Yes,Not sure,Yes
241,Yes,female,19,Hebron,university,Married,others,no,no,no,no,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,no,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes
242,Yes,female,19,Hebron,university,single,study,no,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Not sure,Not sure,no,Not sure,no,no,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure
243,Yes,female,18,Hebron,high school,single,friends/relatives ,Yes,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Not sure,no,no,Yes,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes,Yes,Yes
244,Yes,male,21,Hebron,university,single,study,no,Yes,no,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure
245,Yes,female,20,Hebron,university,single,friends/relatives ,Yes,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,Not sure,no,no,Yes,Yes,Yes,Yes,no,no,no,no,Yes,no
246,Yes,male,21,Hebron,university,single,study,no,Yes,Yes,Yes,Yes,"infection, crystal accumulation in the joint",no,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,Not sure,no,Not sure,Yes,Yes,Not sure,Yes
247,Yes,male,21,Hebron,university,single,study,Yes,Yes,no,Yes,no,"infection, decreased blood supply to the joint, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
248,Yes,female,21,Hebron,university,single,study,no,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,no,Yes,Not sure,Yes,Yes
249,Yes,female,21,Hebron,university,single,friends/relatives ,Yes,Yes,no,Not sure,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes
250,Yes,female,30,Hebron,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
251,Yes,female,22,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,no,no,no,no,Yes,no,Not sure,no,no,no,no,Yes,no,Yes,no,Yes,no,Yes,no
252,Yes,female,21,Hebron,university,single,study,no,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes
253,Yes,female,19,Hebron,university,single,others,no,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure
254,Yes,male,19,Hebron,university,single,media,Yes,no,Not sure,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Not sure,no,Yes,Not sure,Not sure,Not sure,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes
255,Yes,female,22,Hebron,university,single,study,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,no
256,no,female,19,Hebron,university,single,others,no,Not sure,no,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes
257,Yes,female,19,Hebron,university,single,others,Yes,no,no,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Not sure,no,Not sure,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,no,Yes,Not sure,Yes
258,Yes,female,24,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Yes,no,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Yes,no,Yes,Yes,Not sure,Yes,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes
259,Yes,female,20,Hebron,university,single,healthcare,no,no,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Not sure,no,Not sure,Yes,Yes,Yes,Yes,Not sure,no,Not sure,Yes,Yes,Yes,Not sure,Yes
260,Yes,female,21,Hebron,university,single,others,no,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
261,Yes,female,20,Hebron,university,single,media,no,Yes,Not sure,Not sure,Not sure,nerve compression near the joint ,Not sure,Yes,Yes,no,Not sure,Yes,Not sure,no,Yes,no,no,Not sure,Not sure,Yes,Yes,no,no,Not sure,Yes,Not sure
262,Yes,female,34,Nablus,university,Married,others,no,Yes,Yes,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes
263,Yes,female,22,Hebron,university,single,study,Yes,Yes,Yes,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
264,Yes,female,19,Hebron,university,single,others,no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,no,no,Not sure,Yes,Not sure,no,Yes,Not sure,Yes,Yes,Yes,Not sure
265,Yes,female,22,Hebron,university,Married,"media, others",no,Yes,Yes,no,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,no,no,Yes,Yes,Yes,Yes
266,Yes,female,24,Hebron,university,Divorced,others,Yes,no,no,no,Yes,nerve compression near the joint ,Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,no,Yes,Yes,no,no,Yes,Not sure
